,given_word,choice1,choice2,choice3,choice4,choice5,correct_answer
0,tabulate,bound,split,achieve,record,pontificate,record
1,restrain,deteriorate,constrict,see,expand,reach,constrict
2,enclose,consist,brawl,contrast,accomplish,touch,consist
3,visit,tour,leave,collect,obstruct,associate,tour
4,alter,edit,swell,identify,land,explain,edit
5,rule,explain,ruin,zone,stroke,pontificate,pontificate
6,bulge,ruin,dirty,swell,whisper,certificate,swell
7,twist,amass,massage,carve,spiral,cede,spiral
8,break,split,travel,pardon,conclude,chop,split
9,reset,redirect,force,despoil,imprison,conquer,redirect
10,refine,overtake,edit,furl,renounce,disclose,edit
11,rustle,refer,punch,assume,whisper,change,whisper
12,give,labor,refer,confer,pontificate,comment,confer
13,streamline,whack,compile,structure,simplify,consist,simplify
14,arrive,enter,frame,polish,be,park,enter
15,amalgamate,mingle,pressure,castrate,engrave,gesture,mingle
16,bound,spring,protrude,bounce,name,designate,spring
17,frame,inform,structure,comprise,conclude,depreciate,structure
18,flash,wink,close,reset,implicate,beat,wink
19,swat,carry,accumulate,want,slay,squash,squash
20,corrupt,twist,associate,insert,energize,invade,twist
21,alter,replicate,press,furl,discredit,edit,edit
22,notify,lift,dedicate,alert,rewrite,rush,alert
23,uplift,support,reset,invalidate,construe,add,support
24,restrain,leave,ship,add,slap,constrict,constrict
25,travel,function,shape,tour,cuddle,attempt,tour
26,deteriorate,lop,reject,encourage,devolve,consolidate,devolve
27,enter,blend,accomplish,arrive,chop,discredit,arrive
28,carry,arm,obliterate,flatter,blend,reference,arm
29,assemble,reduce,devolve,aggregate,ink,power,aggregate
30,formulate,structure,create,believe,misuse,occupy,structure
31,polish,refine,rule,invoice,hurt,stroke,refine
32,abdicate,pine,build,cede,duplicate,give,cede
33,involve,iron,implicate,elevate,tighten,twist,implicate
34,hit,slam,obliterate,fan,furl,heap,slam
35,notify,imprison,castrate,alert,solve,spread,alert
36,deceive,associate,breathe,crumble,sweep,foist,foist
37,keep,secure,modify,battle,confine,interpret,confine
38,send,correct,protect,zone,export,refer,export
39,encroach,invade,sparkle,fight,imply,share,invade
40,document,record,suggest,kill,reason,cordon,record
41,inspect,redirect,tour,reference,invoice,structure,tour
42,uplift,grapple,bang,iron,slap,raise,raise
43,beat,abuse,tally,kill,conquer,bop,abuse
44,stimulate,pass,refer,attempt,define,intoxicate,intoxicate
45,comment,sniff,sharpen,court,produce,critique,critique
46,rewrite,bill,edit,achieve,trade,excuse,edit
47,blend,sum,amalgamate,tabulate,worsen,enclose,amalgamate
48,construe,awaken,excuse,consist,infer,stroke,infer
49,bop,bounce,kill,abuse,invoice,mark,bounce
50,date,court,pardon,invoice,stagnate,amass,court
51,flirt,encroach,nose,blow,court,wave,court
52,forgive,deteriorate,invalidate,battle,relinquish,pardon,pardon
53,form,dwell,rustle,arise,transfer,structure,structure
54,confer,curl,refer,consult,comment,spin,consult
55,foist,lop,lift,bop,give,discern,lift
56,mark,cuddle,study,ink,proof,consolidate,ink
57,resound,whack,immobilize,imprison,resonate,elevate,resonate
58,determine,wind,compare,obliterate,deduce,alarm,deduce
59,overtake,assemble,trim,associate,split,invade,invade
60,breathe,conquer,whisper,give,depreciate,assume,whisper
61,worsen,wind,resonate,deteriorate,shorten,account,deteriorate
62,prime,arise,share,arm,sharpen,relinquish,arm
63,inquire,pain,record,nose,grapple,copy,nose
64,attempt,yearn,name,try,hop,color,try
65,close,illustrate,achieve,constrict,wrap,involve,constrict
66,blow,infer,fan,whet,touch,divert,fan
67,explode,court,succeed,boom,hold,lunge,boom
68,elevate,keep,sparkle,uplift,resound,solve,uplift
69,combine,fade,amalgamate,share,whack,date,amalgamate
70,create,assume,castrate,split,make,equal,make
71,inform,lecture,bulge,make,disclose,compress,disclose
72,undermine,achieve,uplift,distinguish,invalidate,live,invalidate
73,involve,consist,simplify,document,woo,implicate,implicate
74,abuse,occupy,live,flap,flirt,misuse,misuse
75,carry,spoil,woo,pine,reset,arm,arm
76,decipher,air,journey,interpret,come,fancy,interpret
77,overwhelm,tighten,expand,devolve,regress,power,power
78,transfer,accumulate,devolve,print,evaluate,flirt,devolve
79,glob,beat,lop,ship,elevate,sweep,lop
80,blend,amalgamate,discuss,refine,spoil,punch,amalgamate
81,rise,flatter,time,awaken,invoice,prime,awaken
82,ruin,infer,iron,ball,contaminate,visualize,contaminate
83,admire,fancy,tour,undermine,pontificate,intrude,fancy
84,inspect,beat,tour,aggregate,combat,intoxicate,tour
85,proof,whisper,evidence,leave,document,prove,evidence
86,acquire,spoil,categorize,spring,hone,leave,hone
87,despoil,deteriorate,corrupt,streamline,modify,court,corrupt
88,leave,discredit,excite,nose,park,uplift,park
89,get,achieve,time,charge,rise,assess,achieve
90,visit,streamline,tour,flat,pontificate,function,tour
91,explode,structure,grapple,wave,boom,grow,boom
